url,api,get,post,put,patch,delete
/userid/{id},pro,True,False,True,False,True
/username/{username},pro,True,False,False,False,True
/groupid/{id},pro,True,False,True,False,True
/groupname/{id},pro,True,False,True,False,False
/groupid/0,pro,False,True,False,False,False
/username/{id},pro,False,False,True,False,False
/groupname/{username},pro,False,False,False,False,True
/JSSResource/activationcode,pro,True,False,True,False,False
/api/v1/api-integrations,pro,True,True,True,False,True
/api/v1/api-integrations/{id},pro,True,False,True,False,True
/api/v1/api-integrations/{id}/client-credentials,pro,False,True,False,False,False
/api/v1/api-role-privileges,pro,True,False,False,False,False
/api/v1/api-role-privileges/search?name={name}&limit={limit},pro,True,False,False,False,False
/api/v1/api-roles,pro,True,True,True,False,True
/api/v1/api-roles/{id},pro,True,False,True,False,True
/JSSResource/advancedcomputersearches,pro,True,True,False,False,False
/JSSResource/advancedcomputersearches/id/{id},pro,True,False,True,False,True
/JSSResource/advancedcomputersearches/name/{name},pro,True,False,True,False,True
/JSSResource/advancedmobiledevicesearches,pro,True,True,False,False,False
/JSSResource/advancedmobiledevicesearches/id/{id},pro,True,False,True,False,True
/JSSResource/advancedmobiledevicesearches/name/{name},pro,True,False,True,False,True
/JSSResource/advancedusersearches,pro,True,True,False,False,False
/JSSResource/advancedusersearches/id/{id},pro,True,False,True,False,True
/JSSResource/advancedusersearches/name/{name},pro,True,False,True,False,True
/JSSResource/allowedfileextensions,pro,True,False,False,False,False
/JSSResource/allowedfileextensions/id/{id},pro,True,False,False,False,True
/JSSResource/allowedfileextensions/extension/{extensionName},pro,True,False,False,False,True
/JSSResource/allowedfileextensions/id/0,pro,False,True,False,False,False
/JSSResource/byoprofiles,pro,True,False,False,False,False
/JSSResource/byoprofiles/id/{id},pro,True,False,True,False,True
/JSSResource/byoprofiles/name/{name},pro,True,False,False,False,True
/JSSResource/byoprofiles/id/0,pro,False,True,False,False,False
/JSSResource/byoprofiles/name/{oldName},pro,False,False,True,False,False
/api/v1/categories,pro,True,True,False,False,False
/api/v1/categories/{id},pro,True,False,True,False,True
/api/v1/categories/name/{name},pro,True,False,False,False,False
/api/v1/categories/delete-multiple,pro,False,True,False,False,False
/JSSResource/computergroups,pro,True,False,False,False,False
/JSSResource/computergroups/id/{id},pro,True,False,True,False,True
/JSSResource/computergroups/name/{name},pro,True,False,True,False,True
/JSSResource/computergroups/id/0,pro,False,True,False,False,False
/JSSResource/computerextensionattributes,pro,True,False,False,False,False
/JSSResource/computerextensionattributes/id/{id},pro,True,False,True,False,True
/JSSResource/computerextensionattributes/name/{name},pro,True,False,True,False,False
/JSSResource/computerextensionattributes/id/0,pro,False,True,False,False,False
/JSSResource/departments,pro,True,False,False,False,False
/JSSResource/departments/id/{id},pro,True,False,True,False,True
/JSSResource/departments/name/{name},pro,True,False,False,False,True
/JSSResource/departments/id/0,pro,False,True,False,False,False
/JSSResource/departments/name/{oldName},pro,False,False,True,False,False
/JSSResource/osxconfigurationprofiles,pro,True,False,False,False,False
/JSSResource/osxconfigurationprofiles/id/{id},pro,True,False,True,False,True
/JSSResource/osxconfigurationprofiles/name/{name},pro,True,False,True,False,True
/JSSResource/osxconfigurationprofiles/id/0,pro,False,True,False,False,False
/JSSResource/policies,pro,True,False,False,False,False
/JSSResource/policies/id/{id},pro,True,False,True,False,True
/JSSResource/policies/name/{name},pro,True,False,True,False,True
/JSSResource/policies/category/{category},pro,True,False,False,False,False
/JSSResource/policies/createdBy/{createdBy},pro,True,False,False,False,False
/JSSResource/policies/id/0,pro,False,True,False,False,False
/api/v1/self-service/branding/macos,pro,True,True,False,False,False
/api/v1/self-service/branding/macos/{id},pro,True,False,True,False,True
/api/v1/self-service/branding/macos/name/{name},pro,True,False,False,False,False
/JSSResource/scripts,pro,True,False,False,False,False
/JSSResource/scripts/id/{id},pro,True,False,True,False,True
/JSSResource/scripts/name/{name},pro,True,False,True,False,True
/JSSResource/scripts/id/0,pro,False,True,False,False,False
/JSSResource/sites,pro,True,False,False,False,False
/JSSResource/sites/id/{id},pro,True,False,True,False,True
/JSSResource/sites/name/{name},pro,True,False,True,False,True
/JSSResource/sites/id/0,pro,False,True,False,False,False
/api/v1/sso/failover,pro,True,False,False,False,False
/api/v1/sso/failover/generate,pro,False,False,True,False,False
/api/v1/volume-purchasing-subscriptions,pro,True,True,False,False,False
/api/v1/volume-purchasing-subscriptions/{id},pro,True,False,True,False,True
/api/v1/computer-inventory-collection-settings,pro,True,False,False,True,False
/api/v1/computer-inventory-collection-settings/custom-path,pro,False,True,False,False,False
/api/v1/computer-inventory-collection-settings/custom-path/{id},pro,False,False,False,False,True
/api/v2/jamf-pro-information,pro,True,False,False,False,False
/JSSResource/classes,pro,True,False,False,False,False
/JSSResource/classes/id/{id},pro,True,False,True,False,True
/JSSResource/classes/name/{name},pro,True,False,True,False,True
/JSSResource/classes/id/0,pro,False,True,False,False,False
/JSSResource/computerinvitations,pro,True,False,False,False,False
/JSSResource/computerinvitations/id/{id},pro,True,False,False,False,True
/JSSResource/computerinvitations/invitation/{invitation},pro,True,False,False,False,False
/JSSResource/computerinvitations/id/0,pro,False,True,False,False,False
/JSSResource/diskencryptionconfigurations,pro,True,False,False,False,False
/JSSResource/diskencryptionconfigurations/id/{id},pro,True,False,True,False,True
/JSSResource/diskencryptionconfigurations/name/{name},pro,True,False,True,False,True
/JSSResource/diskencryptionconfigurations/id/0,pro,False,True,False,False,False
/JSSResource/distributionpoints,pro,True,False,False,False,False
/JSSResource/distributionpoints/id/{id},pro,True,False,True,False,True
/JSSResource/distributionpoints/name/{name},pro,True,False,True,False,True
/JSSResource/distributionpoints/id/0,pro,False,True,False,False,False
/JSSResource/directorybindings,pro,True,False,False,False,False
/JSSResource/directorybindings/id/{id},pro,True,False,True,False,True
/JSSResource/directorybindings/name/{name},pro,True,False,True,False,True
/JSSResource/directorybindings/id/0,pro,False,True,False,False,False
/JSSResource/computers,pro,True,False,False,False,False
/JSSResource/computers/id/{id},pro,True,False,True,False,True
/JSSResource/computers/name/{name},pro,True,False,True,False,True
/JSSResource/computers/id/0,pro,False,True,False,False,False
/JSSResource/dockitems,pro,True,False,False,False,False
/JSSResource/dockitems/id/{id},pro,True,False,True,False,True
